철도운영기관명,선명,역명,역간거리
서울교통공사,3호선,가락시장,1.4
서울교통공사,3호선,경복궁(정부서울청사),1.6
서울교통공사,3호선,경찰병원,0.8
서울교통공사,3호선,고속터미널,1.2
서울교통공사,3호선,교대(법원·검찰청),1.6
서울교통공사,3호선,구파발,1.5
서울교통공사,3호선,금호,0.8
서울교통공사,3호선,남부터미널(예술의전당),0.9
서울교통공사,3호선,녹번,1.1
서울교통공사,3호선,대청,0.9
서울교통공사,3호선,대치,0.8
서울교통공사,3호선,도곡,0.9
서울교통공사,3호선,독립문,1.1
서울교통공사,3호선,동대입구,0.9
서울교통공사,3호선,매봉,1.2
서울교통공사,3호선,무악재,0.9
서울교통공사,3호선,불광,1.3
서울교통공사,3호선,수서,1.8
서울교통공사,3호선,신사,1.5
서울교통공사,3호선,안국,1.1
서울교통공사,3호선,압구정,2.1
서울교통공사,3호선,약수,0.7
서울교통공사,3호선,양재(서초구청),1.8
서울교통공사,3호선,연신내,2
서울교통공사,3호선,오금,0.8
서울교통공사,3호선,옥수,0.8
서울교통공사,3호선,을지로3가,0.6
서울교통공사,3호선,일원,1.1
서울교통공사,3호선,잠원,0.9
서울교통공사,3호선,종로3가,1
서울교통공사,3호선,지축,0
서울교통공사,3호선,충무로,0.7
서울교통공사,3호선,학여울,0.8
서울교통공사,3호선,홍제,1.6
코레일,3호선,대곡,2.1
코레일,3호선,대화,1.4
코레일,3호선,마두,1.4
코레일,3호선,백석,2.5
코레일,3호선,삼송,1.7
코레일,3호선,원당,2.9
코레일,3호선,원흥,2.1
코레일,3호선,정발산,0.9
코레일,3호선,주엽,1.6
코레일,3호선,화정,2.6
