철도운영기관명,선명,역명,역간거리(km)
서울교통공사,6호선,응암,1.5
서울교통공사,6호선,역촌,1.1
서울교통공사,6호선,불광,0.8
서울교통공사,6호선,독바위,0.9
서울교통공사,6호선,연신내,1.4
서울교통공사,6호선,구산,0.9
서울교통공사,6호선,새절(신사),0.9
서울교통공사,6호선,증산(명지대앞),0.9
서울교통공사,6호선,디지털미디어시티,1.1
서울교통공사,6호선,월드컵경기장(성산),0.8
서울교통공사,6호선,마포구청,0.8
서울교통공사,6호선,망원,1
서울교통공사,6호선,합정,0.8
서울교통공사,6호선,상수,0.8
서울교통공사,6호선,광흥창(서강),0.9
서울교통공사,6호선,대흥(서강대앞),1
서울교통공사,6호선,공덕,0.9
서울교통공사,6호선,효창공원앞,0.9
서울교통공사,6호선,삼각지,1.2
서울교통공사,6호선,녹사평(용산구청),1.1
서울교통공사,6호선,이태원,0.8
서울교통공사,6호선,한강진,1
서울교통공사,6호선,버티고개,1
서울교통공사,6호선,약수,0.7
서울교통공사,6호선,청구,0.8
서울교통공사,6호선,신당,0.7
서울교통공사,6호선,동묘앞,0.6
서울교통공사,6호선,창신,0.9
서울교통공사,6호선,보문,0.8
서울교통공사,6호선,안암(고대병원앞),0.9
서울교통공사,6호선,고려대(종암),0.8
서울교통공사,6호선,월곡(동덕여대),1.4
서울교통공사,6호선,상월곡(한국과학기술연구원),0.8
서울교통공사,6호선,돌곶이,0.8
서울교통공사,6호선,석계,1
서울교통공사,6호선,태릉입구,0.8
서울교통공사,6호선,화랑대(서울여대입구),0.9
서울교통공사,6호선,봉화산(서울의료원),0.7
서울교통공사,6호선,신내,1.3
