철도운영기관명,선명,역명,역간거리
우이신설경전철주식회사,우이신설,북한산우이,0
우이신설경전철주식회사,우이신설,솔밭공원,0.8
우이신설경전철주식회사,우이신설,4.19민주묘지,0.7
우이신설경전철주식회사,우이신설,가오리,0.9
우이신설경전철주식회사,우이신설,화계,0.8
우이신설경전철주식회사,우이신설,삼양,0.8
우이신설경전철주식회사,우이신설,삼양사거리,0.7
우이신설경전철주식회사,우이신설,솔샘,0.8
우이신설경전철주식회사,우이신설,북한산보국문,1.2
우이신설경전철주식회사,우이신설,정릉,1.2
우이신설경전철주식회사,우이신설,성신여대입구,1.2
우이신설경전철주식회사,우이신설,보문,0.9
우이신설경전철주식회사,우이신설,신설동,1
