철도운영기관명,선명,역명,역간거리(km)
서울교통공사,2호선,시청,1.1
서울교통공사,2호선,을지로입구,0.7
서울교통공사,2호선,을지로3가,0.8
서울교통공사,2호선,을지로4가,0.6
서울교통공사,2호선,동대문역사문화공원,1
서울교통공사,2호선,신당,0.9
서울교통공사,2호선,상왕십리,0.9
서울교통공사,2호선,왕십리,0.8
서울교통공사,2호선,한양대,1
서울교통공사,2호선,뚝섬,1.1
서울교통공사,2호선,성수,0.8
서울교통공사,2호선,건대입구,1.2
서울교통공사,2호선,구의(광진구청),1.6
서울교통공사,2호선,강변(동서울터미널),0.9
서울교통공사,2호선,잠실나루,1.8
서울교통공사,2호선,잠실(송파구청),1
서울교통공사,2호선,잠실새내,1.2
서울교통공사,2호선,종합운동장,1.2
서울교통공사,2호선,삼성(무역센터),1
서울교통공사,2호선,선릉,1.3
서울교통공사,2호선,역삼,1.2
서울교통공사,2호선,강남,0.8
서울교통공사,2호선,교대(법원·검찰청),1.2
서울교통공사,2호선,서초,0.7
서울교통공사,2호선,방배,1.7
서울교통공사,2호선,사당,1.6
서울교통공사,2호선,낙성대,1.7
서울교통공사,2호선,서울대입구(관악구청),1
서울교통공사,2호선,봉천,1
서울교통공사,2호선,신림,1.1
서울교통공사,2호선,신대방,1.8
서울교통공사,2호선,구로디지털단지,1.1
서울교통공사,2호선,대림(구로구청),1.1
서울교통공사,2호선,신도림,1.8
서울교통공사,2호선,까치산,
서울교통공사,2호선,문래,1.2
서울교통공사,2호선,영등포구청,0.9
서울교통공사,2호선,당산,1.1
서울교통공사,2호선,합정,2
서울교통공사,2호선,홍대입구,1.1
서울교통공사,2호선,신촌,1.3
서울교통공사,2호선,이대,0.8
서울교통공사,2호선,아현,0.9
서울교통공사,2호선,충정로(경기대입구),0.8
서울교통공사,2호선,용답,1
서울교통공사,2호선,신답,0.9
서울교통공사,2호선,신설동,0
서울교통공사,2호선,도림천,1
서울교통공사,2호선,양천구청,1.7
서울교통공사,2호선,신정네거리,1.9
서울교통공사,2호선,용두(동대문구청),1.2
