철도운영기관명,선명,역명,역간거리(km)
네오트랜스주식회사,신분당선,논현,0.7
네오트랜스주식회사,신분당선,신논현,0.8
네오트랜스주식회사,신분당선,강남,0.9
네오트랜스주식회사,신분당선,양재(서초구청),1.5
네오트랜스주식회사,신분당선,양재시민의숲(매헌),1.6
네오트랜스주식회사,신분당선,청계산입구,2.9
네오트랜스주식회사,신분당선,판교(판교테크노밸리),8.2
네오트랜스주식회사,신분당선,정자,3.1
네오트랜스주식회사,신분당선,성복,1.7
네오트랜스주식회사,신분당선,상현,2.1
네오트랜스주식회사,신분당선,광교중앙(아주대),2.3
네오트랜스주식회사,신분당선,광교(경기대),2
네오트랜스주식회사,신분당선,신사,0
네오트랜스주식회사,신분당선,미금(분당서울대병원),1.8
네오트랜스주식회사,신분당선,동천,1.7
네오트랜스주식회사,신분당선,수지구청,2.1
